module	file	loc	match_count	match_arms_total	avg_match_arms	if_count	if_chain_count	max_branch_depth	fanout	branch_sites_total
db::commit::store::marker_envelope	crates/icydb-core/src/db/commit/store/marker_envelope.rs	92	0	0	0.00	5	5	1	2	5
db::commit::store	crates/icydb-core/src/db/commit/store/mod.rs	243	0	0	0.00	8	8	1	2	8
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	224	1	2	2.00	11	10	2	3	11
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	306	8	28	3.50	8	8	3	4	16
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	204	0	0	0.00	3	3	1	2	3
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	291	3	12	4.00	0	0	1	3	3
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	188	0	0	0.00	1	1	1	3	1
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	84	0	0	0.00	0	0	0	2	0
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	142	0	0	0.00	6	6	2	2	6
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	21	0	0	0.00	0	0	0	1	0
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	276	0	0	0.00	4	4	1	4	4
db::cursor::string	crates/icydb-core/src/db/cursor/string.rs	61	1	4	4.00	3	3	1	1	4
db::cursor::token::bytes	crates/icydb-core/src/db/cursor/token/bytes.rs	112	0	0	0.00	1	1	1	1	1
db::cursor::token::codec	crates/icydb-core/src/db/cursor/token/codec.rs	213	6	15	2.50	4	4	1	2	10
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	16	0	0	0.00	0	0	0	0	0
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	69	0	0	0.00	0	0	0	2	0
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	25	0	0	0.00	0	0	0	0	0
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	87	1	2	2.00	0	0	1	1	1
db::cursor::token::value	crates/icydb-core/src/db/cursor/token/value.rs	343	7	62	8.86	2	2	1	3	9
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	45	0	0	0.00	1	1	1	3	1
db::data::key	crates/icydb-core/src/db/data/key.rs	278	0	0	0.00	4	4	1	4	4
db::data	crates/icydb-core/src/db/data/mod.rs	80	0	0	0.00	0	0	0	0	0
db::data::persisted_row::codec::by_kind	crates/icydb-core/src/db/data/persisted_row/codec/by_kind.rs	557	3	6	2.00	7	7	1	6	10
db::data::persisted_row::codec::meta	crates/icydb-core/src/db/data/persisted_row/codec/meta.rs	211	0	0	0.00	0	0	0	5	0
db::data::persisted_row::codec	crates/icydb-core/src/db/data/persisted_row/codec/mod.rs	116	3	9	3.00	0	0	1	3	3
db::data::persisted_row::codec::scalar	crates/icydb-core/src/db/data/persisted_row/codec/scalar.rs	643	7	59	8.43	5	5	2	5	12
db::data::persisted_row::codec::slot	crates/icydb-core/src/db/data/persisted_row/codec/slot.rs	263	0	0	0.00	0	0	0	5	0
db::data::persisted_row::codec::strategy	crates/icydb-core/src/db/data/persisted_row/codec/strategy.rs	18	1	2	2.00	0	0	1	1	1
db::data::persisted_row::codec::structured	crates/icydb-core/src/db/data/persisted_row/codec/structured.rs	363	0	0	0.00	2	2	1	4	2
db::data::persisted_row::codec::traversal	crates/icydb-core/src/db/data/persisted_row/codec/traversal.rs	273	0	0	0.00	4	4	1	3	4
db::data::persisted_row::contract	crates/icydb-core/src/db/data/persisted_row/contract.rs	841	23	66	2.87	23	23	4	5	46
db::data::persisted_row	crates/icydb-core/src/db/data/persisted_row/mod.rs	52	0	0	0.00	0	0	0	1	0
db::data::persisted_row::patch	crates/icydb-core/src/db/data/persisted_row/patch.rs	437	0	0	0.00	6	6	1	5	6
db::data::persisted_row::reader::cache	crates/icydb-core/src/db/data/persisted_row/reader/cache.rs	156	5	34	6.80	0	0	2	4	5
db::data::persisted_row::reader::core	crates/icydb-core/src/db/data/persisted_row/reader/core.rs	583	9	25	2.78	28	28	4	4	37
db::data::persisted_row::reader::direct	crates/icydb-core/src/db/data/persisted_row/reader/direct.rs	288	4	8	2.00	3	3	2	4	7
db::data::persisted_row::reader::metrics	crates/icydb-core/src/db/data/persisted_row/reader/metrics.rs	154	0	0	0.00	9	9	2	1	9
db::data::persisted_row::reader	crates/icydb-core/src/db/data/persisted_row/reader/mod.rs	17	0	0	0.00	0	0	0	1	0
db::data::persisted_row::reader::primary_key	crates/icydb-core/src/db/data/persisted_row/reader/primary_key.rs	256	8	46	5.75	6	6	2	4	14
db::data::persisted_row::types	crates/icydb-core/src/db/data/persisted_row/types.rs	195	0	0	0.00	0	0	0	5	0
db::data::persisted_row::writer	crates/icydb-core/src/db/data/persisted_row/writer.rs	84	1	2	2.00	0	0	1	3	1
db::data::row	crates/icydb-core/src/db/data/row.rs	138	0	0	0.00	1	1	1	4	1
db::data::storage	crates/icydb-core/src/db/data/storage.rs	42	0	0	0.00	0	0	0	0	0
db::data::store	crates/icydb-core/src/db/data/store.rs	82	0	0	0.00	0	0	0	1	0
db::data::structural_field::accepted	crates/icydb-core/src/db/data/structural_field/accepted.rs	494	8	47	5.88	13	13	2	4	21
db::data::structural_field::binary	crates/icydb-core/src/db/data/structural_field/binary.rs	406	4	20	5.00	8	8	2	1	12
db::data::structural_field::composite	crates/icydb-core/src/db/data/structural_field/composite.rs	434	5	19	3.80	12	12	4	4	17
db::data::structural_field::encode	crates/icydb-core/src/db/data/structural_field/encode.rs	31	0	0	0.00	3	3	1	4	3
db::data::structural_field::leaf	crates/icydb-core/src/db/data/structural_field/leaf.rs	516	8	31	3.88	20	19	1	5	27
db::data::structural_field	crates/icydb-core/src/db/data/structural_field/mod.rs	414	0	0	0.00	10	10	1	4	10
db::data::structural_field::primitive	crates/icydb-core/src/db/data/structural_field/primitive.rs	33	0	0	0.00	0	0	0	1	0
db::data::structural_field::scalar	crates/icydb-core/src/db/data/structural_field/scalar.rs	465	13	60	4.62	18	18	2	5	31
db::data::structural_field::storage_key::decode	crates/icydb-core/src/db/data/structural_field/storage_key/decode.rs	288	5	30	6.00	16	16	2	3	21
db::data::structural_field::storage_key::encode	crates/icydb-core/src/db/data/structural_field/storage_key/encode.rs	127	5	14	2.80	3	3	2	4	8
db::data::structural_field::storage_key	crates/icydb-core/src/db/data/structural_field/storage_key/mod.rs	77	1	4	4.00	0	0	1	4	1
db::data::structural_field::storage_key::scalar::account	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/account.rs	60	1	2	2.00	4	4	3	2	5
db::data::structural_field::storage_key::scalar::bytes	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/bytes.rs	91	0	0	0.00	6	6	1	2	6
db::data::structural_field::storage_key::scalar::encode	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/encode.rs	63	2	11	5.50	0	0	2	4	2
db::data::structural_field::storage_key::scalar	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/mod.rs	14	0	0	0.00	0	0	0	0	0
db::data::structural_field::storage_key::scalar::primitive	crates/icydb-core/src/db/data/structural_field/storage_key/scalar/primitive.rs	108	0	0	0.00	8	8	1	2	8
db::data::structural_field::typed	crates/icydb-core/src/db/data/structural_field/typed.rs	171	0	0	0.00	3	3	1	3	3
db::data::structural_field::value_storage::decode::cursor	crates/icydb-core/src/db/data/structural_field/value_storage/decode/cursor.rs	135	1	12	12.00	2	2	1	2	3
db::data::structural_field::value_storage::decode	crates/icydb-core/src/db/data/structural_field/value_storage/decode/mod.rs	43	0	0	0.00	1	1	1	1	1
db::data::structural_field::value_storage::decode::scalar	crates/icydb-core/src/db/data/structural_field/value_storage/decode/scalar.rs	224	0	0	0.00	5	5	1	2	5
db::data::structural_field::value_storage::decode::value	crates/icydb-core/src/db/data/structural_field/value_storage/decode/value.rs	450	4	34	8.50	9	9	2	3	13
db::data::structural_field::value_storage::decode::view	crates/icydb-core/src/db/data/structural_field/value_storage/decode/view.rs	98	1	3	3.00	2	2	1	1	3
db::data::structural_field::value_storage::encode	crates/icydb-core/src/db/data/structural_field/value_storage/encode.rs	452	5	32	6.40	4	2	1	4	7
db::data::structural_field::value_storage	crates/icydb-core/src/db/data/structural_field/value_storage/mod.rs	52	0	0	0.00	2	2	1	1	2
db::data::structural_field::value_storage::primitives	crates/icydb-core/src/db/data/structural_field/value_storage/primitives.rs	160	0	0	0.00	6	6	1	1	6
db::data::structural_field::value_storage::skip	crates/icydb-core/src/db/data/structural_field/value_storage/skip.rs	71	1	5	5.00	3	3	2	1	4
db::data::structural_field::value_storage::tags	crates/icydb-core/src/db/data/structural_field/value_storage/tags.rs	35	0	0	0.00	0	0	0	0	0
db::data::structural_field::value_storage::walk	crates/icydb-core/src/db/data/structural_field/value_storage/walk.rs	134	0	0	0.00	8	8	1	2	8
db::data::structural_row	crates/icydb-core/src/db/data/structural_row.rs	485	4	8	2.00	13	13	2	4	17
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	334	0	0	0.00	0	0	0	1	0
db::diagnostics::integrity	crates/icydb-core/src/db/diagnostics/integrity.rs	203	6	12	2.00	4	4	2	4	10
db::diagnostics::local_instructions	crates/icydb-core/src/db/diagnostics/local_instructions.rs	21	0	0	0.00	0	0	0	0	0
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	21	0	0	0.00	0	0	0	1	0
db::diagnostics::model	crates/icydb-core/src/db/diagnostics/model.rs	351	0	0	0.00	0	0	0	1	0
db::diagnostics::storage_report	crates/icydb-core/src/db/diagnostics/storage_report.rs	259	4	8	2.00	3	3	1	4	7
db::direction	crates/icydb-core/src/db/direction.rs	7	0	0	0.00	0	0	0	0	0
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	269	0	0	0.00	10	10	1	2	10
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	62	1	2	2.00	0	0	1	1	1
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	347	0	0	0.00	11	11	1	2	11
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	257	0	0	0.00	8	8	1	3	8
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	6	0	0	0.00	0	0	0	0	0
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	14	0	0	0.00	0	0	0	0	0
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	121	7	28	4.00	0	0	1	2	7
db::executor::aggregate::contracts::state::control	crates/icydb-core/src/db/executor/aggregate/contracts/state/control.rs	51	4	8	2.00	0	0	1	1	4
db::executor::aggregate::contracts::state::distinct	crates/icydb-core/src/db/executor/aggregate/contracts/state/distinct.rs	49	0	0	0.00	0	0	0	3	0
db::executor::aggregate::contracts::state::factory	crates/icydb-core/src/db/executor/aggregate/contracts/state/factory.rs	64	0	0	0.00	2	2	1	1	2
db::executor::aggregate::contracts::state::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/state/grouped.rs	438	10	26	2.60	17	15	3	4	25
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state/mod.rs	17	0	0	0.00	0	0	0	0	0
db::executor::aggregate::contracts::state::reducer	crates/icydb-core/src/db/executor/aggregate/contracts/state/reducer.rs	340	27	72	2.67	3	3	2	4	30
db::executor::aggregate::contracts::state::scalar	crates/icydb-core/src/db/executor/aggregate/contracts/state/scalar.rs	94	2	8	4.00	1	1	1	3	3
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	99	0	0	0.00	4	4	1	4	4
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	489	11	31	2.82	1	1	2	3	12
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	374	2	10	5.00	15	15	2	3	17
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	325	3	13	4.33	4	4	1	5	7
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	356	3	6	2.00	13	12	2	3	15
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	380	7	20	2.86	3	3	2	4	10
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct/mod.rs	15	0	0	0.00	0	0	0	3	0
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	269	0	0	0.00	5	5	1	3	5
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric/mod.rs	317	5	11	2.20	8	8	2	5	13
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	21	0	0	0.00	0	0	0	1	0
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	811	9	31	3.44	24	24	3	4	33
db::executor::aggregate::reducer_core	crates/icydb-core/src/db/executor/aggregate/reducer_core.rs	270	10	30	3.00	12	12	2	4	22
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	253	3	8	2.67	5	5	1	4	8
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	25	0	0	0.00	1	1	1	1	1
db::executor::aggregate::runtime::grouped_fold::bundle	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/bundle.rs	329	0	0	0.00	4	4	1	3	4
db::executor::aggregate::runtime::grouped_fold::count::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/count/finalize.rs	20	0	0	0.00	0	0	0	2	0
db::executor::aggregate::runtime::grouped_fold::count::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/count/ingest.rs	200	2	6	3.00	4	4	2	4	6
db::executor::aggregate::runtime::grouped_fold::count	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/count/mod.rs	153	1	3	3.00	1	1	1	2	2
db::executor::aggregate::runtime::grouped_fold::count::state	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/count/state.rs	83	0	0	0.00	0	0	0	2	0
db::executor::aggregate::runtime::grouped_fold::count::window	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/count/window.rs	285	1	2	2.00	10	10	1	3	11
db::executor::aggregate::runtime::grouped_fold::dispatch	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/dispatch.rs	50	0	0	0.00	2	2	1	2	2
db::executor::aggregate::runtime::grouped_fold::distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/distinct.rs	70	0	0	0.00	0	0	0	2	0
db::executor::aggregate::runtime::grouped_fold::generic	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/generic/mod.rs	2	0	0	0.00	0	0	0	0	0
db::executor::aggregate::runtime::grouped_fold::generic::runner	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/generic/runner.rs	196	0	0	0.00	3	3	1	2	3
db::executor::aggregate::runtime::grouped_fold::metrics	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/metrics.rs	235	0	0	0.00	0	0	0	1	0
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	115	0	0	0.00	2	2	1	2	2
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	535	5	12	2.40	20	20	3	3	25
db::executor::aggregate::runtime::grouped_fold::utils::boundary	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/boundary.rs	27	1	2	2.00	0	0	1	2	1
db::executor::aggregate::runtime::grouped_fold::utils::bucket	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/bucket.rs	30	2	4	2.00	0	0	1	0	2
db::executor::aggregate::runtime::grouped_fold::utils::equality	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/equality.rs	141	0	0	0.00	3	3	1	3	3
db::executor::aggregate::runtime::grouped_fold::utils::hashing	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/hashing.rs	43	0	0	0.00	2	2	1	4	2
db::executor::aggregate::runtime::grouped_fold::utils	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/mod.rs	16	0	0	0.00	0	0	0	0	0
db::executor::aggregate::runtime::grouped_fold::utils::sizing	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/utils/sizing.rs	10	0	0	0.00	0	0	0	0	0
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	328	0	0	0.00	6	6	1	4	6
db::executor::aggregate::runtime::grouped_row	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_row.rs	27	0	0	0.00	0	0	0	1	0
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	32	0	0	0.00	0	0	0	2	0
db::executor::aggregate::scalar_terminals::diagnostics	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/diagnostics.rs	127	1	2	2.00	1	1	1	1	2
db::executor::aggregate::scalar_terminals::expr_cache	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/expr_cache.rs	122	0	0	0.00	2	2	1	3	2
db::executor::aggregate::scalar_terminals	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/mod.rs	171	0	0	0.00	5	5	2	4	5
db::executor::aggregate::scalar_terminals::reducer	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/reducer.rs	300	5	15	3.00	8	8	1	3	13
db::executor::aggregate::scalar_terminals::request	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/request.rs	110	0	0	0.00	0	0	0	3	0
db::executor::aggregate::scalar_terminals::terminal	crates/icydb-core/src/db/executor/aggregate/scalar_terminals/terminal.rs	417	9	27	3.00	7	6	2	2	15
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	534	16	47	2.94	1	1	2	5	17
db::executor::authority::entity	crates/icydb-core/src/db/executor/authority/entity.rs	309	0	0	0.00	3	3	1	7	3
db::executor::authority	crates/icydb-core/src/db/executor/authority/mod.rs	2	0	0	0.00	0	0	0	0	0
db::executor::covering	crates/icydb-core/src/db/executor/covering.rs	361	4	11	2.75	21	21	2	4	25
db::executor::delete::api	crates/icydb-core/src/db/executor/delete/api.rs	127	0	0	0.00	4	4	1	4	4
db::executor::delete::commit	crates/icydb-core/src/db/executor/delete/commit.rs	76	0	0	0.00	1	1	1	3	1
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	21	0	0	0.00	0	0	0	0	0
db::executor::delete::runtime	crates/icydb-core/src/db/executor/delete/runtime.rs	148	0	0	0.00	1	1	1	3	1
db::executor::delete::structural_projection	crates/icydb-core/src/db/executor/delete/structural_projection.rs	164	0	0	0.00	3	3	1	4	3
db::executor::delete::typed	crates/icydb-core/src/db/executor/delete/typed.rs	97	0	0	0.00	1	1	1	4	1
db::executor::delete::types	crates/icydb-core/src/db/executor/delete/types.rs	128	0	0	0.00	2	2	1	3	2
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	56	0	0	0.00	0	0	0	1	0
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	45	3	12	4.00	0	0	2	1	3
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	78	2	8	4.00	0	0	1	1	2
db::executor::explain::descriptor::aggregate	crates/icydb-core/src/db/executor/explain/descriptor/aggregate.rs	100	0	0	0.00	0	0	0	1	0
db::executor::explain::descriptor::load	crates/icydb-core/src/db/executor/explain/descriptor/load.rs	635	4	12	3.00	21	20	2	4	24
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor/mod.rs	18	0	0	0.00	0	0	0	0	0
db::executor::explain::descriptor::shared	crates/icydb-core/src/db/executor/explain/descriptor/shared/mod.rs	611	11	38	3.45	19	18	2	2	29
db::executor::explain::descriptor::shared::predicate	crates/icydb-core/src/db/executor/explain/descriptor/shared/predicate.rs	237	3	9	3.00	12	12	2	2	15
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	523	7	23	3.29	7	7	2	3	14
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	54	0	0	0.00	0	0	0	2	0
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	225	4	12	3.00	0	0	1	3	4
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	88	0	0	0.00	0	0	0	1	0
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	379	1	2	2.00	21	21	2	2	22
db::executor	crates/icydb-core/src/db/executor/mod.rs	293	3	5	1.67	0	0	1	3	3
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	881	3	9	3.00	18	18	2	4	21
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	102	0	0	0.00	0	0	0	3	0
db::executor::mutation::save::batch	crates/icydb-core/src/db/executor/mutation/save/batch.rs	213	2	5	2.50	5	5	2	5	7
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save/mod.rs	174	6	18	3.00	0	0	1	6	6
db::executor::mutation::save::shared	crates/icydb-core/src/db/executor/mutation/save/shared.rs	160	2	5	2.50	2	2	2	4	4
db::executor::mutation::save::structural	crates/icydb-core/src/db/executor/mutation/save/structural.rs	445	1	2	2.00	7	7	1	6	8
db::executor::mutation::save::typed	crates/icydb-core/src/db/executor/mutation/save/typed.rs	182	0	0	0.00	1	1	1	6	1
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	573	8	31	3.88	23	23	2	7	31
db::executor::order	crates/icydb-core/src/db/executor/order.rs	445	10	28	2.80	12	12	2	3	22
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	306	4	8	2.00	1	1	1	2	5
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	15	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	45	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	80	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::fast_stream	crates/icydb-core/src/db/executor/pipeline/contracts/fast_stream.rs	43	0	0	0.00	0	0	0	2	0
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	4	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	5	0	0	0.00	0	0	0	0	0
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	41	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	186	0	0	0.00	2	2	1	3	2
db::executor::pipeline::contracts::materialization	crates/icydb-core/src/db/executor/pipeline/contracts/materialization.rs	31	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	118	3	6	2.00	0	0	1	2	3
db::executor::pipeline::contracts::post_access	crates/icydb-core/src/db/executor/pipeline/contracts/post_access.rs	35	0	0	0.00	0	0	0	1	0
db::executor::pipeline::contracts::scan	crates/icydb-core/src/db/executor/pipeline/contracts/scan.rs	80	0	0	0.00	0	0	0	1	0
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	423	1	2	2.00	6	6	2	3	7
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	185	1	2	2.00	0	0	1	3	1
db::executor::pipeline::entrypoints::scalar::diagnostics	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/diagnostics.rs	76	0	0	0.00	0	0	0	2	0
db::executor::pipeline::entrypoints::scalar::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/entrypoints.rs	426	1	2	2.00	3	2	1	3	3
