module_path	file	layer	imports_from_layers	upward_imports	cross_layer_imports	violations
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	executor	query/plan,executor,index/storage	11	12	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	executor	executor	0	0	none
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	executor		0	0	none
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	executor	executor	0	0	none
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	executor	executor	0	0	none
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	executor		0	0	none
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	executor	query/plan,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	executor	executor	0	0	none
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	executor		0	0	none
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	executor	query/plan,executor	4	4	upward-import,cross-layer-semantic-mix
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	executor		0	0	none
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	executor	query/plan,access,executor,index/storage	11	12	upward-import,cross-layer-semantic-mix
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	executor	executor	0	0	none
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	executor	executor	0	0	none
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	executor		0	0	none
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	executor		0	0	none
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	executor		0	0	none
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	executor	query/plan,access,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	executor	executor,index/storage	0	5	cross-layer-semantic-mix
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	executor	access	1	1	upward-import,cross-layer-semantic-mix
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	executor		0	0	none
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	executor	query/plan	3	3	upward-import,cross-layer-semantic-mix
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	executor	query/plan,access,executor,codec	14	15	upward-import,cross-layer-semantic-mix
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	executor	query/plan,access,executor	18	18	upward-import,cross-layer-semantic-mix
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	executor		0	0	none
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	executor		0	0	none
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	executor	executor	0	0	none
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor	crates/icydb-core/src/db/executor/mod.rs	executor	access,executor,index/storage	10	11	upward-import,cross-layer-semantic-mix
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	executor	index/storage	0	21	cross-layer-semantic-mix
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	executor	executor,index/storage,codec	0	5	cross-layer-semantic-mix
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	executor		0	0	none
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	executor	executor	0	0	none
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	executor	executor	0	0	none
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	executor		0	0	none
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	executor		0	0	none
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	executor	query/plan,executor	5	5	upward-import,cross-layer-semantic-mix
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	executor	query/plan,executor	5	5	upward-import,cross-layer-semantic-mix
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	executor	executor	0	0	none
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	executor	executor	0	0	none
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	executor	executor	0	0	none
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	executor	executor	0	0	none
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	executor	executor	0	0	none
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	executor	access,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	executor	executor	0	0	none
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	executor		0	0	none
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	executor	executor	0	0	none
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	executor	executor	0	0	none
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	executor		0	0	none
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	executor	query/plan,executor,index/storage	2	4	upward-import,cross-layer-semantic-mix
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	executor		0	0	none
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	executor	query/plan,executor	5	5	upward-import,cross-layer-semantic-mix
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	executor	executor	0	0	none
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	executor	executor	0	0	none
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	executor	executor	0	0	none
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	executor	executor	0	0	none
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	executor	executor	0	0	none
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	executor	executor,index/storage	0	3	cross-layer-semantic-mix
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	executor	executor,index/storage	0	1	cross-layer-semantic-mix
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	executor	executor	0	0	none
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	executor		0	0	none
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	executor	executor	0	0	none
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	executor		0	0	none
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	executor	access	1	1	upward-import,cross-layer-semantic-mix
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	executor	query/plan,access	2	2	upward-import,cross-layer-semantic-mix
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	executor	query/plan,executor,index/storage	1	4	upward-import,cross-layer-semantic-mix
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	executor		0	0	none
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	executor	query/plan	2	2	upward-import,cross-layer-semantic-mix
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	executor	query/plan,executor	4	4	upward-import,cross-layer-semantic-mix
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	executor		0	0	none
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	executor	query/plan,access,executor	4	4	upward-import,cross-layer-semantic-mix
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	executor	executor	0	0	none
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	executor	executor	0	0	none
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	executor	executor	0	0	none
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	executor	access,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	executor	executor	0	0	none
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	executor	executor	0	0	none
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	executor		0	0	none
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	executor	query/plan,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	executor		0	0	none
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	executor		0	0	none
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	executor	query/plan,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	executor	query/plan,executor	4	4	upward-import,cross-layer-semantic-mix
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	executor	executor	0	0	none
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	executor	executor	0	0	none
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	executor	executor	0	0	none
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	executor	executor	0	0	none
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	executor	executor	0	0	none
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	executor	executor	0	0	none
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	executor	query/plan,executor	2	2	upward-import,cross-layer-semantic-mix
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	executor	query/plan,executor	5	5	upward-import,cross-layer-semantic-mix
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	executor	query/plan,access,executor	3	3	upward-import,cross-layer-semantic-mix
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	executor	query/plan,access	6	6	upward-import,cross-layer-semantic-mix
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	executor	query/plan	2	2	upward-import,cross-layer-semantic-mix
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	executor	access,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	executor	executor	0	0	none
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	executor	executor,index/storage	0	14	cross-layer-semantic-mix
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	executor	executor	0	0	none
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	executor		0	0	none
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	executor	query/plan,executor	1	1	upward-import,cross-layer-semantic-mix
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	executor	query/plan,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	executor	access,executor,index/storage	1	2	upward-import,cross-layer-semantic-mix
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	executor		0	0	none
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	executor	access,executor,index/storage	2	4	upward-import,cross-layer-semantic-mix
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	executor	executor,index/storage	0	2	cross-layer-semantic-mix
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	executor	access,executor,index/storage	3	4	upward-import,cross-layer-semantic-mix
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	executor	executor,index/storage	0	2	cross-layer-semantic-mix
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	executor	index/storage	0	1	cross-layer-semantic-mix
