enum	module	file	line	site_kind	site_text	included_reason
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	152	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_key_namespace_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	155	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_component_arity_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	173	match-arm-or-constructor	.map_err(CursorPlanError::invalid_continuation_cursor_payload)?;	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	176	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_outside_envelope());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	224	match-arm-or-constructor	return Err(CursorPlanError::unexpected_index_range_anchor_for_composite_plan());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	232	match-arm-or-constructor	return Err(CursorPlanError::unexpected_index_range_anchor_for_non_range_path());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	235	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_semantic_bounds_required());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	239	match-arm-or-constructor	return Err(CursorPlanError::index_range_anchor_required());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	263	match-arm-or-constructor	return Err(CursorPlanError::unexpected_index_range_anchor_for_non_range_path());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	289	match-arm-or-constructor	CursorPlanError::index_range_anchor_primary_key_decode_failed(source)	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	293	match-arm-or-constructor	CursorPlanError::index_range_boundary_primary_key_decode_failed(source)	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	299	match-arm-or-constructor	return Err(CursorPlanError::index_range_boundary_anchor_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	64	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_direction_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	76	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_window_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	92	match-arm-or-constructor	CursorPlanError::continuation_cursor_boundary_arity_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	121	match-arm-or-constructor	.ok_or_else(|| CursorPlanError::continuation_cursor_unknown_order_field(field))	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	131	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_tie_break_required(pk_field)	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	161	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	188	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	196	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_boundary_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	207	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	265	match-arm-or-constructor	".map_err(|_| CursorPlanError::continuation_cursor_unknown_order_field(""expression""))?;"	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	319	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	331	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	351	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	359	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	406	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	420	match-arm-or-constructor	CursorPlanError::continuation_cursor_primary_key_type_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	64	match-arm-or-constructor	.map(|token| decode_cursor(token).map_err(CursorPlanError::invalid_continuation_cursor))	semi-mechanical direct enum-qualified reference
PlanError	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	77	match-arm-or-constructor	.map_err(CursorPlanError::from_token_wire_error)	semi-mechanical direct enum-qualified reference
PlanError	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	192	match-arm-or-constructor	CursorPlanError::cursor_requires_order_message(),	semi-mechanical direct enum-qualified reference
PlanError	db::cursor	crates/icydb-core/src/db/cursor/mod.rs	195	match-arm-or-constructor	return Err(CursorPlanError::cursor_requires_order());	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	147	match-arm-or-constructor	"CursorPlanError::continuation_cursor_invariant(""continuation cursor boundary is missing"")"	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	171	match-arm-or-constructor	ContinuationToken::decode(cursor).map_err(CursorPlanError::from_token_wire_error)?;	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	186	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_signature_mismatch(	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	273	match-arm-or-constructor	GroupedContinuationToken::decode(cursor).map_err(CursorPlanError::from_token_wire_error)?;	semi-mechanical direct enum-qualified reference
PlanError	db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	328	match-arm-or-constructor	return Err(CursorPlanError::grouped_continuation_cursor_direction_mismatch());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	243	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	246	match-arm-or-constructor	ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::authority::entity	crates/icydb-core/src/db/executor/authority/entity.rs	278	match-arm-or-constructor	.map_err(crate::db::access::AccessPlanError::into_internal_error)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::authority::entity	crates/icydb-core/src/db/executor/authority/entity.rs	307	match-arm-or-constructor	CursorPlanError::continuation_cursor_invariant(	semi-mechanical direct enum-qualified reference
PlanError	db::executor	crates/icydb-core/src/db/executor/mod.rs	220	match-arm-or-constructor	Self::from(CursorPlanError::continuation_cursor_invariant(message))	semi-mechanical direct enum-qualified reference
PlanError	db::executor::planning::continuation::scalar	crates/icydb-core/src/db/executor/planning/continuation/scalar.rs	103	match-arm-or-constructor	.map_err(crate::db::cursor::CursorPlanError::into_internal_error)?;	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::aggregate_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/aggregate_plan.rs	49	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::aggregate_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/aggregate_plan.rs	53	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	230	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	241	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	540	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	552	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	574	match-arm-or-constructor	return Err(ExecutorPlanError::continuation_cursor_requires_load_plan());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	579	match-arm-or-constructor	.map_err(ExecutorPlanError::from)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	589	match-arm-or-constructor	ExecutorPlanError::continuation_cursor_requires_load_plan().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	595	match-arm-or-constructor	.map_err(CursorPlanError::into_internal_error)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	604	match-arm-or-constructor	ExecutorPlanError::grouped_cursor_revalidation_requires_grouped_plan()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	611	match-arm-or-constructor	.map_err(CursorPlanError::into_internal_error)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	627	match-arm-or-constructor	ExecutorPlanError::grouped_cursor_boundary_arity_requires_grouped_plan()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	642	match-arm-or-constructor	.map_err(CursorPlanError::into_internal_error)?;	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::core	crates/icydb-core/src/db/executor/prepared_execution_plan/core.rs	665	match-arm-or-constructor	ExecutorPlanError::continuation_contract_requires_load_plan().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	86	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	97	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	196	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	200	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	240	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::load_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/load_plan.rs	244	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	96	match-arm-or-constructor	ExecutorPlanError::load_execution_descriptor_requires_load_plan()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	220	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	224	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	242	match-arm-or-constructor	return Err(ExecutorPlanError::grouped_cursor_preparation_requires_grouped_plan());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	247	match-arm-or-constructor	.map_err(ExecutorPlanError::from)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	256	match-arm-or-constructor	return Err(ExecutorPlanError::grouped_cursor_preparation_requires_grouped_plan());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/mod.rs	261	match-arm-or-constructor	.map_err(ExecutorPlanError::from)	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::shared_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/shared_plan.rs	86	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::shared_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/shared_plan.rs	90	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::shared_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/shared_plan.rs	128	match-arm-or-constructor	ExecutorPlanError::lowered_index_prefix_spec_invalid().into_internal_error()	semi-mechanical direct enum-qualified reference
PlanError	db::executor::prepared_execution_plan::shared_plan	crates/icydb-core/src/db/executor/prepared_execution_plan/shared_plan.rs	132	match-arm-or-constructor	return Err(ExecutorPlanError::lowered_index_range_spec_invalid().into_internal_error());	semi-mechanical direct enum-qualified reference
PlanError	db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	69	match-arm-or-constructor	IndexPlanError::unique_violation(entity_path, &fields)	semi-mechanical direct enum-qualified reference
PlanError	db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	78	match-arm-or-constructor	IndexPlanError::unique_violation(entity_path, &fields)	semi-mechanical direct enum-qualified reference
PlanError	db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors/mod.rs	137	match-arm-or-constructor	Self::from(PlanError::from(err))	semi-mechanical direct enum-qualified reference
PlanError	db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors/mod.rs	158	match-arm-or-constructor	Self::from(PlanError::from(ExprPlanError::unknown_field(field)))	semi-mechanical direct enum-qualified reference
PlanError	db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors/mod.rs	407	match-arm-or-constructor	message = CursorPlanError::cursor_requires_order_message()	semi-mechanical direct enum-qualified reference
PlanError	db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors/mod.rs	413	match-arm-or-constructor	message = CursorPlanError::cursor_requires_limit_message()	semi-mechanical direct enum-qualified reference
PlanError	db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	370	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_invariant(	semi-mechanical direct enum-qualified reference
PlanError	db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	433	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_invariant(	semi-mechanical direct enum-qualified reference
PlanError	db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	479	match-arm-or-constructor	return Err(CursorPlanError::continuation_cursor_invariant(	semi-mechanical direct enum-qualified reference
PlanError	db::query::plan::expr::type_inference::aggregate	crates/icydb-core/src/db/query/plan/expr/type_inference/aggregate.rs	40	match-arm-or-constructor	return Err(PlanError::from(ExprPlanError::aggregate_target_required(	semi-mechanical direct enum-qualified reference
PlanError	db::query::plan::expr::type_inference::aggregate	crates/icydb-core/src/db/query/plan/expr/type_inference/aggregate.rs	50	match-arm-or-constructor	return Err(PlanError::from(	semi-mechanical direct enum-qualified reference
