 Retained Bytes │ Retained % │ Dominator Tree
────────────────┼────────────┼───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
        1125250 ┊     34.23% ┊ export "canister_query query_one_entity_sql"
            151 ┊      0.00% ┊                                   ⤷ code[6485]
             27 ┊      0.00% ┊                               ⤷ code[6484]
           2167 ┊      0.07% ┊                       ⤷ code[1238]
           2051 ┊      0.06% ┊                           ⤷ code[6486]
            982 ┊      0.03% ┊                               ⤷ code[6487]
            151 ┊      0.00% ┊                                   ⤷ code[6489]
             27 ┊      0.00% ┊                               ⤷ code[6488]
           1762 ┊      0.05% ┊                       ⤷ code[1249]
            449 ┊      0.01% ┊                           ⤷ code[7426]
           1664 ┊      0.05% ┊                       ⤷ code[4465]
             16 ┊      0.00% ┊                           ⤷ type[123]: (i32, i64, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32, i32) -> nil
           1413 ┊      0.04% ┊                       ⤷ code[1231]
           1212 ┊      0.04% ┊                       ⤷ code[1234]
            302 ┊      0.01% ┊                           ⤷ code[7750]
             39 ┊      0.00% ┊                           ⤷ code[7749]
           1197 ┊      0.04% ┊                       ⤷ code[1128]
            113 ┊      0.00% ┊                           ⤷ code[7674]
           1118 ┊      0.03% ┊                       ⤷ code[1125]
             14 ┊      0.00% ┊                           ⤷ code[1129]
           1055 ┊      0.03% ┊                       ⤷ code[1317]
             90 ┊      0.00% ┊                           ⤷ code[7759]
            986 ┊      0.03% ┊                       ⤷ code[1208]
            953 ┊      0.03% ┊                       ⤷ code[1218]
            879 ┊      0.03% ┊                       ⤷ code[1315]
            865 ┊      0.03% ┊                       ⤷ code[7111]
            691 ┊      0.02% ┊                       ⤷ code[1195]
            631 ┊      0.02% ┊                       ⤷ code[1308]
            542 ┊      0.02% ┊                       ⤷ code[1206]
            496 ┊      0.02% ┊                       ⤷ code[1324]
            496 ┊      0.02% ┊                       ⤷ code[1331]
            438 ┊      0.01% ┊                       ⤷ code[1307]
            333 ┊      0.01% ┊                       ⤷ code[1232]
            319 ┊      0.01% ┊                       ⤷ code[7756]
            227 ┊      0.01% ┊                           ⤷ code[7760]
            318 ┊      0.01% ┊                       ⤷ code[1321]
            298 ┊      0.01% ┊                       ⤷ code[1207]
            267 ┊      0.01% ┊                       ⤷ code[1302]
         149206 ┊      4.54% ┊ [137 Unreachable Items]
